name,code,status
An Giang,AG,active
Bà Rịa – Vũng Tàu,BRV,active
Bắc Giang,BG,active
Bắc Kạn,BK,active
Bạc Liêu,BL,active
Bắc Ninh,BN,active
Bến Tre,BT,active
Bình Định,BD,active
Bình Dương,BDI,active
Bình Phước,BPC,active
Bình Thuận,BTH,active
Cà Mau,CM,active
Cần Thơ,CT,active
Cao Bằng,CB,active
Đà Nẵng,DN,active
Đắk Lắk,DLK,active
Đắk Nông,DNO,active
Điện Biên,DBN,active
Đồng Nai,DNA,active
Đồng Tháp,DT,active
Gia Lai,GL,active
Hà Giang,HG,active
Hà Nam,HN,active
Hà Nội,HN,active
Hà Tĩnh,HT,active
Hải Dương,HD,active
Hải Phòng,HP,active
Hậu Giang,HGIA,active
Hòa Bình,HB,active
Hưng Yên,HY,active
Khánh Hòa,KH,active
Kiên Giang,KG,active
Kon Tum,KT,active
Lai Châu,LC,active
Lâm Đồng,LD,active
Lạng Sơn,LS,active
Lào Cai,LC,active
Long An,LA,active
Nam Định,ND,active
Nghệ An,NA,active
Ninh Bình,NB,active
Ninh Thuận,NT,active
Phú Thọ,PT,active
Phú Yên,PY,active
Quảng Bình,QB,active
Quảng Nam,QN,active
Quảng Ngãi,QNG,active
Quảng Ninh,QNI,active
Quảng Trị,QT,active
Sóc Trăng,ST,active
Sơn La,SL,active
Tây Ninh,TN,active
Thái Bình,TB,active
Thái Nguyên,TNG,active
Thanh Hóa,TH,active
Thừa Thiên Huế,TTH,active
Tiền Giang,TG,active
Thành phố Hồ Chí Minh,SG,active
Trà Vinh,TV,active
Tuyên Quang,TQ,active
Vĩnh Long,VL,active
Vĩnh Phúc,VP,active
Yên Bái,YB,active
