name,code,status
Phật giáo,phat_giao,active
Công giáo,cong_giao,active
Tin lành,tin_lanh,active
Cao Đài,cao_dai,active
Phật giáo Hòa Hảo,phat_giao_hoa_hao,active
Hồi giáo,hoi_giao,active
Tôn giáo Baha’i,ton_giao_bahai,active
Tịnh độ Cư sỹ Phật hội Việt Nam,tinh_do_cu_sy_phat_hoi,active
Đạo Tứ Ân Hiếu nghĩa,dao_tu_an_hieu_nghia,active
Bửi Sơn Kỳ hương,bui_son_ky_huong,active
Giáo hội Phật đường Nam Tông Minh Sư đạo,giao_hoi_phat_duong_nam_tong_minh_su_dao,active
Hội thánh Minh lý đạo – Tam Tông Miếu,hoi_thanh_minh_ly_dao_tam_tong_mieu,active
Chăm Bà la môn,cham_ba_la_mon,active
Giáo hội Các thành hữu Ngày sau của Chúa Giê su Ky tô (Mormon),giao_hoi_cac_thanh_huu_ngay_sau_cua_chua_gie_su_ky_to_mormon,active
Phật giáo Hiếu Nghĩa Tà Lơn,phat_giao_hieu_nghia_ta_lon,active
Giáo hội Cơ đốc Phục lâm Việt Nam,giao_hoi_co_doc_phuc_lam_viet_nam,active
